sweep,family,N,alpha,t,j_star,w_small,model,n_repeats,wall_med_ms,wall_mean_ms,wall_cv,run_sample_med_ms,run_sample_mean_ms,run_sample_cv,run_count_med_ms,run_build_med_ms,phase3_fill_residual_med_ms,samples_per_sec_by_sample_med,ns_per_sample_by_sample_med
A_alpha_F1,F1,1000000,10.0,10000000,50000000,512,ours/sampling,3,11877.7,11451.366666666667,0.05409616365949186,4832.691979,4856.112977,0.010415582981819898,4162.165789,2396.789894,nan,2069240.092986278,483.2691979
A_alpha_F1,F1,1000000,10.0,10000000,50000000,512,ours/adaptive,3,8902.53,8454.960000000001,0.07922053021806523,1318.034939,1311.1142956666667,0.012690819252903256,4671.171586,2438.068397,nan,7587052.288300531,131.8034939
A_alpha_F1,F1,1000000,10.0,10000000,50000000,512,range_tree/enum_sampling,3,42660.3,43264.3,0.020889611072317522,145.109488,145.583268,0.0077960558371318565,42515.773212,0.00053,nan,68913481.38448396,14.5109488
A_alpha_F1,F1,1000000,10.0,10000000,50000000,512,range_tree/sampling,3,78974.1,79067.83333333333,0.011356089401202092,40950.78851,41382.37153066666,0.023824589455361637,36219.36099,1252.874541,nan,244195.542109233,4095.078851
A_alpha_F1,F1,1000000,10.0,10000000,50000000,512,range_tree/adaptive,3,46385.7,46508.03333333333,0.006588170982837595,1254.673965,1254.5149616666667,0.0015390654460657404,43857.204594,1273.241121,nan,7970198.058584886,125.4673965
A_alpha_F1,F1,1000000,10.0,10000000,50000000,512,kd_tree/sampling,3,6323.26,6420.97,0.022204597095894344,4281.389648,4295.3358296666665,0.00564262544312349,1836.014564,210.807458,nan,2335690.2366201077,428.13896480000005
A_alpha_F1,F1,1000000,30.0,10000000,50000000,512,ours/enum_sampling,3,8850.18,8485.116666666667,0.06500103103725009,149.131847,149.55503966666666,0.004793345623674135,5867.090048,1600.179291,nan,67054758.59894634,14.9131847
A_alpha_F1,F1,1000000,30.0,10000000,50000000,512,ours/sampling,3,12346.9,11931.166666666666,0.05315183775929483,5120.689586,5119.400733333334,0.004841990476573448,4420.25901,1586.033729,nan,1952861.9792420277,512.0689586
A_alpha_F1,F1,1000000,30.0,10000000,50000000,512,ours/adaptive,3,18250.0,17874.5,0.03822966705272279,4557.867462,4589.774343,0.014786450018410177,10843.364333,1608.530878,3190.018293,2194008.510201826,455.7867462
A_alpha_F1,F1,1000000,30.0,10000000,50000000,512,range_tree/enum_sampling,3,51001.0,51108.76666666667,0.003631181471406757,155.942585,156.872131,0.008731332152960621,50842.199292,0.00043,nan,64126165.40889071,15.5942585
A_alpha_F1,F1,1000000,30.0,10000000,50000000,512,range_tree/sampling,3,80141.8,80414.73333333334,0.0054107304995514175,41955.105704,42020.95089466667,0.004532263568576107,36979.982983,1334.141601,nan,238350.0132391896,4195.5105704
A_alpha_F1,F1,1000000,30.0,10000000,50000000,512,range_tree/adaptive,3,88313.1,89693.83333333333,0.02403090810661143,30435.566012,30624.083345333333,0.00897356275806447,56604.796855,1286.25264,29185.809125,328562.97123100143,3043.5566012
A_alpha_F1,F1,1000000,30.0,10000000,50000000,512,kd_tree/sampling,3,10449.4,10434.333333333334,0.0027840887419853253,6837.201029,6832.223308333333,0.0012361535648455066,3413.571192,196.69069,nan,1462586.8038083103,683.7201029
A_alpha_F1,F1,1000000,100.0,10000000,50000000,512,ours/enum_sampling,3,10923.3,10811.0,0.02004503023957081,159.536469,159.14719333333332,0.004843325008915554,7923.672918,1592.308925,nan,62681592.883944295,15.9536469
A_alpha_F1,F1,1000000,100.0,10000000,50000000,512,ours/sampling,3,13845.2,13613.766666666666,0.026712881977489025,5504.732222,6205.130575333334,0.16554671085110342,4750.635249,1635.38586,nan,1816618.7921066147,550.4732222
A_alpha_F1,F1,1000000,100.0,10000000,50000000,512,ours/adaptive,3,19332.9,19358.733333333334,0.006219321269586164,5663.667417,5667.681072666666,0.006719626280834508,10688.292022,1611.487192,4204.414478,1765640.3993610418,566.3667417
A_alpha_F1,F1,1000000,100.0,10000000,50000000,512,range_tree/enum_sampling,3,68446.9,68978.3,0.015279486817139459,159.399853,161.48473833333333,0.020454691861408195,68280.779014,0.00049,nan,62735315.06958165,15.9399853
A_alpha_F1,F1,1000000,100.0,10000000,50000000,512,range_tree/sampling,3,82500.2,82737.86666666667,0.004137800831225706,43478.444147,43516.141469,0.0017486885189304685,37780.612219,1263.073532,nan,229999.03046645696,4347.8444147
